date,actual,hw_forecast,bilstm_forecast,hybrid_forecast
2025-05-28,-0.0935,-0.07796898280045268,,
2025-06-02,-0.1147,-0.09350415672551869,,
2025-06-03,-0.1149,-0.09926986128487027,,
2025-06-04,-0.1144,-0.10634020590039976,,
2025-06-10,-0.09880000000000001,-0.10780885467646129,,
2025-06-11,-0.096,-0.09400970183897243,,
2025-06-12,-0.09949999999999999,-0.09081457779228332,,
2025-06-13,-0.1062,-0.09195770434975535,,
2025-06-16,-0.1085,-0.09835943812543381,,
2025-06-17,-0.1076,-0.0937346388864265,,
2025-06-18,-0.1133,-0.08379140526498927,-0.10396286,-0.11041892
2025-06-19,-0.1353,-0.09932657919005528,-0.105761476,-0.11167133
2025-06-20,-0.1449,-0.10509228374940685,-0.110431336,-0.11255113
2025-06-23,-0.1573,-0.11216262836493635,-0.11515314,-0.11349896
2025-06-24,-0.1474,-0.11363127714099788,-0.12156748,-0.11886349
2025-06-25,-0.1543,-0.09983212430350903,-0.12553544,-0.1272758
2025-06-26,-0.1427,-0.0966370002568199,-0.13140291,-0.13538261
2025-06-30,-0.1398,-0.09778012681429193,-0.13375789,-0.1438474
2025-07-01,-0.1441,-0.1041818605899704,-0.1357859,-0.14812547
2025-07-02,-0.1478,-0.09955706135096308,-0.13827069,-0.15241085
2025-07-03,-0.1487,-0.08961382772952585,-0.14064401,-0.15297766
2025-07-04,-0.1511,-0.10514900165459186,-0.14228235,-0.15427804
2025-07-07,-0.1455,-0.11091470621394343,-0.14331992,-0.15435629
2025-07-08,-0.1515,-0.11798505082947293,-0.14271155,-0.15507443
2025-07-09,-0.147,-0.11945369960553445,-0.14333603,-0.15580778
2025-07-10,-0.1336,-0.1056545467680456,-0.14296351,-0.15634061
2025-07-11,-0.1235,-0.1024594227213565,-0.14024399,-0.155834
2025-07-14,-0.1339,-0.10360254927882852,-0.13716567,-0.15076046
2025-07-15,-0.1314,-0.11000428305450698,-0.13695282,-0.14758873
2025-07-16,-0.132,-0.10537948381549966,-0.13519047,-0.14466073
2025-07-17,-0.1199,-0.09543625019406243,-0.13376829,-0.14319119
2025-07-18,-0.1217,-0.11097142411912844,-0.13011207,-0.13956952
2025-07-21,-0.1182,-0.11673712867848002,-0.127947,-0.13657781
2025-07-22,-0.1259,-0.12380747329400951,-0.1253036,-0.13341206
2025-07-23,-0.1165,-0.12527612207007105,-0.12443283,-0.13276568
2025-07-24,-0.1073,-0.1114769692325822,-0.12149937,-0.13110219
2025-07-25,-0.1138,-0.10828184518589307,-0.11833006,-0.1281219
2025-07-28,-0.1037,-0.10942497174336512,-0.11765099,-0.12521277
2025-07-29,-0.1018,-0.11582670551904356,-0.11410819,-0.12174593
2025-07-30,-0.1087,-0.11120190628003625,-0.11136381,-0.11911009
2025-07-31,-0.1179,-0.10125867265859902,-0.110259004,-0.116772436
2025-08-01,-0.1109,-0.11679384658366503,-0.11098062,-0.11723367
2025-08-04,-0.1121,-0.1225595511430166,-0.10964018,-0.116539694
2025-08-05,-0.1048,-0.1296298957585461,-0.1094584,-0.11707005
2025-08-06,-0.1129,-0.13109854453460762,-0.107554674,-0.117044754
2025-08-07,-0.1153,-0.11729939169711878,-0.10836358,-0.11713289
2025-08-08,-0.1181,-0.11410426765042966,-0.10930172,-0.117456995
2025-08-11,-0.1089,-0.11524739420790168,-0.110331304,-0.11777905
2025-08-12,-0.0819,-0.12164912798358016,-0.10974555,-0.119374245
2025-08-13,-0.0748,-0.11702432874457283,-0.10468953,-0.11491038
2025-08-14,-0.0788,-0.1070810951231356,-0.100193135,-0.107554294
2025-08-15,-0.08539999999999999,-0.12261626904820161,-0.096631706,-0.10053595
2025-08-19,-0.0908,-0.12838197360755318,-0.09437844,-0.09708266
2025-08-20,-0.0774,-0.13545231822308268,-0.09275567,-0.09359603
2025-08-21,-0.0759,-0.13692096699914422,-0.08860162,-0.09147296
2025-08-22,-0.08310000000000001,-0.12312181416165537,-0.08525716,-0.08775335
2025-08-25,-0.0764,-0.11992669011496623,-0.08362087,-0.08828266
2025-08-26,-0.087,-0.12106981667243828,-0.080255605,-0.086383864
2025-08-27,-0.0924,-0.12747155044811673,-0.08038217,-0.08732832
2025-08-28,-0.09210000000000002,-0.12284675120910943,-0.08205082,-0.08720161
2025-08-29,-0.109,-0.11290351758767218,-0.08353133,-0.08760653
2025-09-01,-0.1184,-0.12843869151273818,-0.0881441,-0.089848325
2025-09-02,-0.1139,-0.13420439607208975,-0.09279392,-0.09173248
2025-09-03,-0.1072,-0.14127474068761928,-0.09556359,-0.09592014
2025-09-04,-0.1062,-0.1427433894636808,-0.09794536,-0.10288674
2025-09-08,-0.1242,-0.12894423662619195,-0.100450784,-0.1088538
2025-09-09,-0.1376,-0.12574911257950283,-0.10584913,-0.112960726
2025-09-10,-0.1246,-0.12689223913697487,-0.11218832,-0.11431046
2025-09-12,-0.1301,-0.13329397291265332,-0.11409382,-0.11840367
2025-09-15,-0.1251,-0.128669173673646,-0.117699325,-0.12429618
2025-09-16,-0.126,-0.11872594005220878,-0.11948205,-0.12864788
2025-09-17,-0.1169,-0.13426111397727478,-0.1209055,-0.13074674
2025-09-18,-0.1233,-0.14002681853662635,-0.11995779,-0.13191113
2025-09-19,-0.1195,-0.14709716315215585,-0.12108912,-0.13254087
2025-09-22,-0.1212,-0.14856581192821736,-0.120992646,-0.13163161
2025-09-23,-0.115,-0.13476665909072855,-0.12141616,-0.13103475
2025-09-24,-0.1156,-0.13157153504403943,-0.11971381,-0.1291177
2025-09-25,-0.1294,-0.13271466160151146,-0.11825084,-0.12778413
2025-09-26,-0.122,-0.1391163953771899,-0.11999633,-0.12843397
2025-09-29,-0.1226,-0.1344915961381826,-0.11899252,-0.12778413
2025-09-30,-0.1336,-0.12454836251674535,-0.11908659,-0.12857386
2025-10-01,-0.1429,-0.14008353644181137,-0.12124486,-0.12946303
2025-10-02,-0.143,-0.14584924100116292,-0.12458157,-0.13011211
2025-10-03,-0.1411,-0.15291958561669242,-0.12686828,-0.13246138
2025-10-06,-0.1444,-0.15438823439275395,-0.12888707,-0.13571262
2025-10-07,-0.1414,-0.14058908155526514,-0.13148223,-0.14082389
2025-10-08,-0.143,-0.137393957508576,-0.13322067,-0.14359456
2025-10-10,-0.1351,-0.13853708406604803,-0.13521878,-0.14693005
2025-10-13,-0.1418,-0.1449388178417265,-0.13483416,-0.14884678
2025-10-14,-0.159,-0.14031401860271916,-0.13649899,-0.15018106
2025-10-15,-0.1579,-0.13037078498128196,-0.14058036,-0.15041617
2025-10-16,-0.1538,-0.14590595890634794,-0.14244616,-0.15040118
2025-10-17,-0.1635,-0.15167166346569952,-0.14329943,-0.15297726
